P,D,question_num,text,answer,source_type,subject,topic,Bloom_level,keywords,,,,,,,,
43,37,113_13,"亞洲某處沿海寺廟的建廟碑文寫道:「……崇祀聖母神像,我唐人所共建也。自嘉慶二十三年(1818年),英吏斯臨,新闢是地,……謂可為商賈聚集之區。……數年之間,遂成一大都會。我唐人由內地帆海而來,經商茲土,惟賴聖母慈航。」從碑文判斷,此寺廟最可能的地點是:<br>(A)新加坡<br>(B)雅加達<br>(C)馬尼拉<br>(D)長崎",A,學測單選題,華人/移民,社會,分析,新加坡/萊佛士/媽祖/華人移民/碑文,,,,,,,,
63,47,113_14,"日本大阪西北方的「寶塚市」,為知名觀光旅遊勝地。遊客可在榮町的寶塚大劇場觀賞東西方歷史劇表演,在湯本町的寶塚溫泉泡湯,參訪市郊紫雲山以祈求安產、護佑嬰兒聞名的佛寺中山寺,參觀武庫川町的手塚治虫漫畫紀念館。上述哪個地方的景點,最能說明東亞文化圈的擴散現象?<br>(A)榮町<br>(B)湯本町<br>(C)紫雲山<br>(D)武庫川町",C,學測單選題,日本,文化,了解,東亞文化圈/佛教/文化擴散/日本/寺廟,,,,,,,,
36,20,113_15,"北宋末年有詩云:「泉州人稠山谷瘠,雖欲就耕無地辟,州南有海浩無窮,每歲造舟通異域。」該詩最可能說明當時泉州具有下列哪種社經發展特色?<br>(A)生產技術革新,促使沿岸漁業產量提升,居民財富得以增加<br>(B)土地贍養力低,人們多前往臺灣從事墾殖,在異鄉建立聚落<br>(C)產業升級快速,從事手工業以增加附加價值,提高人均收入<br>(D)人口壓力過重,居民透過對外貿易創造利潤,彌補家鄉生計",D,學測單選題,宋元,經濟,了解,泉州/宋代/海外貿易/人口壓力/土地不足,,,,,,,,
30,34,113_17,"某同學小論文探究臺灣某茶鄉的產業發展,採集到具有地方特色的閩南語「相褒歌」:「透早(清晨)出門上茶山,冷風吹來會畏寒(感到寒冷)。親像(好比)孤鳥揣(找)無伴,怎樣放我會孤單。」當地種茶事業的發達與 1860年代「臺灣開港」有密切關係,1860至1960年代也是「相褒歌」最流行的期間。該小論文研究區域最可能位於下列何地?<br>(A)新北市石碇區烏塗窟<br>(B)新竹縣北埔鄉六份壢<br>(C)南投縣竹山鎮杉林溪<br>(D)嘉義縣阿里山鄉樂野",A,學測單選題,清治臺灣,經濟,應用,臺灣開港/茶葉/相褒歌/新北市/產業史,,,,,,,,
42,24,114_7,"葉生撰寫《在「他鄉」成為「原住民」》一文,摘要時寫到:此族群的名稱曾是地名轉化後的行政區名,因原鄉土地流失而在十九世紀遷入花蓮平原。後因新開地爭奪與清軍衝突,發生加禮宛戰役,失敗後被迫離散,多數族人移居東海岸,與阿美族混居,但仍保有其傳統文化。此族群發起正名運動並成功,但原鄉許多族人受限法令,未能取得原住民族身分。此族群為: (A)布農族 (B)太魯閣族 (C)噶瑪蘭族 (D)西拉雅族",C,學測單選題,原住民,社會,記憶,加禮宛/花蓮/噶瑪蘭族/正名運動/阿美族,原住民,TRUE,社會,TRUE,記憶,TRUE,加禮宛/花蓮/噶瑪蘭族/正名運動/阿美族,TRUE
49,28,114_8,"教育政策的制定往往與國家的政經局勢息息相關。戰後臺灣教育政策依序有:蠲除日本文化思想、戰亂建國、提升國民素質以及教育鬆綁、尊重多元等面向,而與之配合的作法包括:(甲)強化軍事訓練與政治教育;(乙)實施九年國民義務教育;(丙)推行國語教育;(丁)推動大學自治。上述甲、乙、丙、丁出現的順序應為: (A)甲乙丙丁 (B)甲丙乙丁 (C)丙乙甲丁 (D)丙丁乙甲",D,學測單選題,中華民國,政治,記憶,義務教育/國語運動/戰後臺灣教育/教育政策/滌除日本文化思想,中華民國,TRUE,政治,TRUE,記憶,TRUE,義務教育/國語運動/戰後臺灣教育/教育政策/滌除日本文化思想,TRUE
60,31,114_9,"中國古代國家從封建制轉化為郡縣制的過程中,統治者控制和掌握人民的方式也出現變革,並形成新的社會型態,此變化最重要的意義是: (A)編製戶籍成為統治者動員人力的主要依據 (B)頒布法律成為統治者建構權威的主要途徑 (C)徵收賦役是消弭社會貧富不均的主要作法 (D)計口授田是提高社會勞動生產的主要措施",A,學測單選題,秦漢,政治,了解,郡縣制/戶籍/政治權威/賦役/法律,秦漢,TRUE,政治,TRUE,了解,TRUE,郡縣制/戶籍/政治權威/賦役/法律,TRUE
75,26,114_10,"一位史家認為:在啟蒙運動中,重要的思想家通常出身貴族,或者與貴族有密切聯繫,很少挑戰當時的政治與社會秩序。這位史家還發現在1780年代法國大革命前的暢銷書,多是一些八卦式的虛構文學,主題如「教宗的私生子」、「皇后的奢靡生活」等。這些作者透過撰寫捏造上流人士醜聞的小冊來養活自己並抒發心中的苦悶。從上文可知,史家認為這類暢銷書與法國大革命之間的關係最可能是: (A)啟發人民以爭取民主自由 (B)打擊了王室與教會的權威 (C)敵國為顛覆法國故予支持 (D)為了賺錢以支持革命運動",B,學測單選題,啟蒙運動/法國,社會,分析,啟蒙運動/法國大革命/貴族/法國/教會,啟蒙運動/法國,TRUE,社會,TRUE,分析,TRUE,啟蒙運動/法國大革命/貴族/法國/教會,TRUE
67,41,114_11,"1950至1980年代,中共在政策上促成中國內部大規模人口流動,大多是漢族移往少數民族自治區,如內蒙古、新疆、西藏等地,其主因是為了: (A)促進國內與鄰國族群往來,帶動邊疆經濟開發 (B)推動不同信仰的族群交流,創造多元宗教環境 (C)改變當地人口與族群結構,以加強政府的控制 (D)強迫與邊境少數民族通婚,強化當地文化傳承",C,學測單選題,中華人民共和國,政治,了解,中共/移民/內蒙古/新疆/西藏,中華人民共和國,TRUE,政治,TRUE,了解,TRUE,中共/移民/內蒙古/新疆/西藏,TRUE
60,49,114_12,"學者指出,二次大戰結束前,蘇聯基於雅爾達會議對日宣戰,得以在日本投降後,接收日軍在中國東北留下的設備及武器等。同時,為彌補勞動力,扣留此地的數十萬名日本平民,送往西伯利亞強制進行苦役勞動。這批日本平民最可能是: (A)日、俄戰爭後,日本政府為解決國內經濟危機所推動的計畫移民 (B)併吞朝鮮之後,日本政府為拓墾東北亞殖民地所推動的季節移民 (C)第一次大戰後,日本政府為擴大對中國的影響所推動的自願移民 (D)滿洲國建立後,日本政府為協助該國經濟建設所推動的政策移民",D,學測單選題,日本/蘇聯,社會,記憶,第二次世界大戰/雅爾達會議/日本/蘇聯/滿洲國,日本/蘇聯,TRUE,社會,TRUE,記憶,TRUE,第二次世界大戰/雅爾達會議/日本/蘇聯/滿洲國,TRUE
39,-1,114_13,"1814 年,英人萊佛士造訪爪哇島上建於約八、九世紀的佛教遺址,看到許多巨大的佛塔,塔上飾以千幅的浮雕作品及數百尊佛陀雕像。此遺址形成的背景最可能是: (A)越南接受從西域直接傳來的佛教,再傳往當地 (B)唐朝派遣使節前往當地傳播佛教時,雕塑佛像 (C)日本派遣僧侶前往當地推廣佛教時,建造佛塔 (D)印度人將佛教傳播到當地,影響其建築與雕塑",D,學測單選題,東南亞,文化,了解,佛教/印尼/萊佛士/印度/文化傳播,東南亞,TRUE,文化,TRUE,了解,TRUE,佛教/印尼/萊佛士/印度/英國,FALSE
52,33,114_14,"四世紀末,羅馬皇帝狄奧多西一世因信奉基督教,下令關閉羅馬境內所有異教神廟,包括埃及的神廟,使得最後一批懂古埃及文的祭司四處流散。這個舉動造成的最大影響應當是: (A)長期無人識讀古埃及文字系統 (B)基督教成為西方世界唯一宗教 (C)羅馬皇帝成為埃及宗教的教宗 (D)羅馬脫離埃及文化而自成體系",A,學測單選題,羅馬帝國,文化,分析,羅馬/基督教/埃及/古埃及文/狄奧多西一世,羅馬帝國,TRUE,文化,TRUE,分析,TRUE,羅馬/基督教/埃及/古埃及文/狄奧多西一世,TRUE
62,48,114_16,"十九世紀末,一位英國議員批評清朝允許朝鮮與其他國家締結條約,有違國際慣例,但也指出:「若不採取此種方式,就無法引進外國勢力,以阻止清朝在朝鮮地區最害怕的兩個國家。」這兩個國家最可能是: (A)美國、日本 (B)日本、俄國 (C)俄國、英國 (D)英國、美國",B,學測單選題,明清,政治,記憶,清朝/朝鮮/條約/日本/俄國,明清,TRUE,政治,TRUE,記憶,TRUE,清朝/朝鮮/條約/日本/俄國,TRUE
60,36,114_17,"宋元時期,中國船隻出海必須取得市舶司發給以漢字書寫的「公憑」,是記載貨物相關內容的出海執照,也是東亞各港口驗證商船的依據。明朝實施海禁,琉球在明朝的封貢秩序下,進行與東亞、東南亞各國間的中轉貿易。琉球國王以漢字咨文(外交文書)與暹羅等國往來,琉球負責貢舶貿易的官員也以漢字文書與舊港(印尼蘇門答臘東部)的華人領袖聯繫。根據上文,下列哪個推論最合理? (A)中國政府強制貿易必須使用漢字 (B)各國商人認為使用漢字難以竄改 (C)東亞港口長期通行漢字已為定例 (D)東亞港口的官員及商人均為華人",C,學測單選題,宋元/明清/東南亞,文化,分析,公憑/海禁/東亞/漢字/文化圈,宋元/明清/東南亞,TRUE,文化,TRUE,分析,TRUE,公憑/海禁/東亞/漢字/東南亞,FALSE
39,21,114_22,"「日治時期,為了支援製糖會社的發展,臺灣總督府協助會社興建『糖業鐵道』,以利農場運送甘蔗至糖廠,製糖後輸往海外。1990 年代開始,部分農場土地釋出,提供科學園區或相關產業使用;其他農場儘管仍維持農業使用,但轉為栽種毛豆等經濟價值較高的作物外銷,部分糖業鐵道也轉型為觀光使用。」僅依題文資訊,上文最可能是下列哪個研究的摘要? (A)糖業發展與國際貿易關係之研究 (B)糖業專業分工與產品標準化之研究 (C)經濟全球化與糖業地景變遷之研究 (D)知識經濟下糖業產業系統轉變之研究",C,學測單選題,日治臺灣/中華民國,經濟,分析,糖業/地景變遷/全球化/科學園區/產業轉型,,,,,,,,
21,17,114_27,"全球各殖民地在獨立後,有些殖民地成為富國,有些卻深陷貧窮。對此,某書指出「北美、澳紐等地區,原為人口相對稀少且技術較落後,被殖民後,經濟快速成長。中南美洲人口相對密集,但被殖民後,到近代卻發展遲緩。」該書從體制、自然環境、人口密度與人口移動等角度,解釋上述殖民地獨立後呈現經濟發展不均的現象。下列何者最能解釋該書的說法? (A)英國法制較注重個人財產權,有助繼承制度的北美與澳紐人民勇於投資 (B)西、葡種植咖啡需大量資金,使得中南美洲的此類栽培業擁有較多企業 (C)黃熱病、瘧疾容易導致死亡,因而屬於熱帶氣候區的殖民地較缺乏勞力 (D)古文明地區環境負載力較低,促使地處於古文明的殖民地發展較為遲緩",A,學測單選題,全球化/資本主義,經濟,分析,殖民地/經濟發展/制度/財產權/英國法制,,,,,,,,
